Country,Confirmed,Date
Spain,0,2020-01-22T00:00:00Z
Spain,0,2020-01-23T00:00:00Z
Spain,0,2020-01-24T00:00:00Z
Spain,0,2020-01-25T00:00:00Z
Spain,0,2020-01-26T00:00:00Z
Spain,0,2020-01-27T00:00:00Z
Spain,0,2020-01-28T00:00:00Z
Spain,0,2020-01-29T00:00:00Z
Spain,0,2020-01-30T00:00:00Z
Spain,0,2020-01-31T00:00:00Z
Spain,1,2020-02-01T00:00:00Z
Spain,1,2020-02-02T00:00:00Z
Spain,1,2020-02-03T00:00:00Z
Spain,1,2020-02-04T00:00:00Z
Spain,1,2020-02-05T00:00:00Z
Spain,1,2020-02-06T00:00:00Z
Spain,1,2020-02-07T00:00:00Z
Spain,1,2020-02-08T00:00:00Z
Spain,2,2020-02-09T00:00:00Z
Spain,2,2020-02-10T00:00:00Z
Spain,2,2020-02-11T00:00:00Z
Spain,2,2020-02-12T00:00:00Z
Spain,2,2020-02-13T00:00:00Z
Spain,2,2020-02-14T00:00:00Z
Spain,2,2020-02-15T00:00:00Z
Spain,2,2020-02-16T00:00:00Z
Spain,2,2020-02-17T00:00:00Z
Spain,2,2020-02-18T00:00:00Z
Spain,2,2020-02-19T00:00:00Z
Spain,2,2020-02-20T00:00:00Z
Spain,2,2020-02-21T00:00:00Z
Spain,2,2020-02-22T00:00:00Z
Spain,2,2020-02-23T00:00:00Z
Spain,2,2020-02-24T00:00:00Z
Spain,6,2020-02-25T00:00:00Z
Spain,13,2020-02-26T00:00:00Z
Spain,15,2020-02-27T00:00:00Z
Spain,32,2020-02-28T00:00:00Z
Spain,45,2020-02-29T00:00:00Z
Spain,84,2020-03-01T00:00:00Z
Spain,120,2020-03-02T00:00:00Z
Spain,165,2020-03-03T00:00:00Z
Spain,222,2020-03-04T00:00:00Z
Spain,259,2020-03-05T00:00:00Z
Spain,400,2020-03-06T00:00:00Z
Spain,500,2020-03-07T00:00:00Z
Spain,673,2020-03-08T00:00:00Z
Spain,1073,2020-03-09T00:00:00Z
Spain,1695,2020-03-10T00:00:00Z
Spain,2277,2020-03-11T00:00:00Z
Spain,2277,2020-03-12T00:00:00Z
Spain,5232,2020-03-13T00:00:00Z
Spain,6391,2020-03-14T00:00:00Z
Spain,7798,2020-03-15T00:00:00Z
Spain,9942,2020-03-16T00:00:00Z
Spain,11748,2020-03-17T00:00:00Z
Spain,13910,2020-03-18T00:00:00Z
Spain,17963,2020-03-19T00:00:00Z
Spain,20410,2020-03-20T00:00:00Z
Spain,25374,2020-03-21T00:00:00Z
Spain,28768,2020-03-22T00:00:00Z
Spain,35136,2020-03-23T00:00:00Z
Spain,39885,2020-03-24T00:00:00Z
Spain,49515,2020-03-25T00:00:00Z
Spain,57786,2020-03-26T00:00:00Z
Spain,65719,2020-03-27T00:00:00Z
Spain,73235,2020-03-28T00:00:00Z
Spain,80110,2020-03-29T00:00:00Z
Spain,87956,2020-03-30T00:00:00Z
Spain,95923,2020-03-31T00:00:00Z
Spain,104118,2020-04-01T00:00:00Z
Spain,112065,2020-04-02T00:00:00Z
Spain,119199,2020-04-03T00:00:00Z
Spain,126168,2020-04-04T00:00:00Z
Spain,131646,2020-04-05T00:00:00Z
Spain,136675,2020-04-06T00:00:00Z
Spain,141942,2020-04-07T00:00:00Z
Spain,148220,2020-04-08T00:00:00Z
Spain,153222,2020-04-09T00:00:00Z
Spain,158273,2020-04-10T00:00:00Z
Spain,163027,2020-04-11T00:00:00Z
Spain,166831,2020-04-12T00:00:00Z
Spain,170099,2020-04-13T00:00:00Z
Spain,172541,2020-04-14T00:00:00Z
Spain,177644,2020-04-15T00:00:00Z
Spain,184948,2020-04-16T00:00:00Z
Spain,190839,2020-04-17T00:00:00Z
Spain,191726,2020-04-18T00:00:00Z
Spain,198674,2020-04-19T00:00:00Z
Spain,200210,2020-04-20T00:00:00Z
Spain,204178,2020-04-21T00:00:00Z
Spain,208389,2020-04-22T00:00:00Z
Spain,213024,2020-04-23T00:00:00Z
Spain,202990,2020-04-24T00:00:00Z
Spain,205905,2020-04-25T00:00:00Z
Spain,207634,2020-04-26T00:00:00Z
Spain,209465,2020-04-27T00:00:00Z
Spain,210773,2020-04-28T00:00:00Z
Spain,212917,2020-04-29T00:00:00Z
Spain,213435,2020-04-30T00:00:00Z
Spain,215216,2020-05-01T00:00:00Z
Spain,216582,2020-05-02T00:00:00Z
Spain,217466,2020-05-03T00:00:00Z
Spain,218011,2020-05-04T00:00:00Z
Spain,219329,2020-05-05T00:00:00Z
Spain,220325,2020-05-06T00:00:00Z
Spain,221447,2020-05-07T00:00:00Z
Spain,222857,2020-05-08T00:00:00Z
Spain,223578,2020-05-09T00:00:00Z
Spain,224350,2020-05-10T00:00:00Z
Spain,227436,2020-05-11T00:00:00Z
Spain,228030,2020-05-12T00:00:00Z
Spain,228691,2020-05-13T00:00:00Z
Spain,229540,2020-05-14T00:00:00Z
Spain,230183,2020-05-15T00:00:00Z
Spain,230698,2020-05-16T00:00:00Z
Spain,230698,2020-05-17T00:00:00Z
Spain,231606,2020-05-18T00:00:00Z
Spain,232037,2020-05-19T00:00:00Z
Spain,232555,2020-05-20T00:00:00Z
Spain,233037,2020-05-21T00:00:00Z
Spain,234824,2020-05-22T00:00:00Z
Spain,235290,2020-05-23T00:00:00Z
Spain,235772,2020-05-24T00:00:00Z
Spain,235400,2020-05-25T00:00:00Z
Spain,236259,2020-05-26T00:00:00Z
Spain,236259,2020-05-27T00:00:00Z
Spain,237906,2020-05-28T00:00:00Z
Spain,238564,2020-05-29T00:00:00Z
Spain,239228,2020-05-30T00:00:00Z
Spain,239479,2020-05-31T00:00:00Z
Spain,239638,2020-06-01T00:00:00Z
Spain,239932,2020-06-02T00:00:00Z
Spain,240326,2020-06-03T00:00:00Z
Spain,240660,2020-06-04T00:00:00Z
Spain,240978,2020-06-05T00:00:00Z
Spain,241310,2020-06-06T00:00:00Z
Spain,241550,2020-06-07T00:00:00Z
Spain,241717,2020-06-08T00:00:00Z
Spain,241966,2020-06-09T00:00:00Z
Spain,242280,2020-06-10T00:00:00Z
Spain,242707,2020-06-11T00:00:00Z
Spain,243209,2020-06-12T00:00:00Z
Spain,243605,2020-06-13T00:00:00Z
Spain,243928,2020-06-14T00:00:00Z
Spain,244109,2020-06-15T00:00:00Z
Spain,244328,2020-06-16T00:00:00Z
Spain,244683,2020-06-17T00:00:00Z
Spain,245268,2020-06-18T00:00:00Z
Spain,245575,2020-06-19T00:00:00Z
Spain,245938,2020-06-20T00:00:00Z
Spain,246272,2020-06-21T00:00:00Z
Spain,246504,2020-06-22T00:00:00Z
Spain,246752,2020-06-23T00:00:00Z
Spain,247086,2020-06-24T00:00:00Z
Spain,247486,2020-06-25T00:00:00Z
Spain,247905,2020-06-26T00:00:00Z
Spain,248469,2020-06-27T00:00:00Z
Spain,248770,2020-06-28T00:00:00Z
Spain,248970,2020-06-29T00:00:00Z
Spain,249271,2020-06-30T00:00:00Z
Spain,249659,2020-07-01T00:00:00Z
Spain,250103,2020-07-02T00:00:00Z
Spain,250545,2020-07-03T00:00:00Z
Spain,250545,2020-07-04T00:00:00Z
Spain,250545,2020-07-05T00:00:00Z
Spain,251789,2020-07-06T00:00:00Z
Spain,252130,2020-07-07T00:00:00Z
Spain,252513,2020-07-08T00:00:00Z
Spain,253056,2020-07-09T00:00:00Z
Spain,253908,2020-07-10T00:00:00Z
Spain,253908,2020-07-11T00:00:00Z
Spain,253908,2020-07-12T00:00:00Z
Spain,255953,2020-07-13T00:00:00Z
Spain,256619,2020-07-14T00:00:00Z
Spain,257494,2020-07-15T00:00:00Z
Spain,258855,2020-07-16T00:00:00Z
Spain,260255,2020-07-17T00:00:00Z
Spain,260255,2020-07-18T00:00:00Z
Spain,260255,2020-07-19T00:00:00Z
Spain,264836,2020-07-20T00:00:00Z
Spain,266194,2020-07-21T00:00:00Z
Spain,267551,2020-07-22T00:00:00Z
Spain,270166,2020-07-23T00:00:00Z
Spain,272421,2020-07-24T00:00:00Z
Spain,272421,2020-07-25T00:00:00Z
Spain,272421,2020-07-26T00:00:00Z
Spain,278782,2020-07-27T00:00:00Z
Spain,280610,2020-07-28T00:00:00Z
Spain,282641,2020-07-29T00:00:00Z
Spain,285430,2020-07-30T00:00:00Z
Spain,288522,2020-07-31T00:00:00Z
Spain,288522,2020-08-01T00:00:00Z
Spain,288522,2020-08-02T00:00:00Z
Spain,297054,2020-08-03T00:00:00Z
Spain,302814,2020-08-04T00:00:00Z
Spain,305767,2020-08-05T00:00:00Z
Spain,309855,2020-08-06T00:00:00Z
Spain,314362,2020-08-07T00:00:00Z
Spain,314362,2020-08-08T00:00:00Z
Spain,314362,2020-08-09T00:00:00Z
Spain,322980,2020-08-10T00:00:00Z
Spain,326612,2020-08-11T00:00:00Z
Spain,329784,2020-08-12T00:00:00Z
Spain,337334,2020-08-13T00:00:00Z
Spain,342813,2020-08-14T00:00:00Z
Spain,342813,2020-08-15T00:00:00Z
Spain,342813,2020-08-16T00:00:00Z
Spain,359082,2020-08-17T00:00:00Z
Spain,364196,2020-08-18T00:00:00Z
Spain,370867,2020-08-19T00:00:00Z
Spain,377906,2020-08-20T00:00:00Z
Spain,386054,2020-08-21T00:00:00Z
Spain,386054,2020-08-22T00:00:00Z
Spain,386054,2020-08-23T00:00:00Z
Spain,405436,2020-08-24T00:00:00Z
Spain,412553,2020-08-25T00:00:00Z
Spain,419849,2020-08-26T00:00:00Z
Spain,429507,2020-08-27T00:00:00Z
Spain,439286,2020-08-28T00:00:00Z
Spain,439286,2020-08-29T00:00:00Z
Spain,439286,2020-08-30T00:00:00Z
Spain,462858,2020-08-31T00:00:00Z
Spain,470973,2020-09-01T00:00:00Z
Spain,479554,2020-09-02T00:00:00Z
Spain,488513,2020-09-03T00:00:00Z
Spain,498989,2020-09-04T00:00:00Z
Spain,498989,2020-09-05T00:00:00Z
Spain,498989,2020-09-06T00:00:00Z
Spain,525549,2020-09-07T00:00:00Z
Spain,534513,2020-09-08T00:00:00Z
Spain,543379,2020-09-09T00:00:00Z
Spain,554143,2020-09-10T00:00:00Z
Spain,566326,2020-09-11T00:00:00Z
Spain,566326,2020-09-12T00:00:00Z
Spain,566326,2020-09-13T00:00:00Z
Spain,593730,2020-09-14T00:00:00Z
Spain,603167,2020-09-15T00:00:00Z
Spain,614360,2020-09-16T00:00:00Z
Spain,625651,2020-09-17T00:00:00Z
Spain,640040,2020-09-18T00:00:00Z
Spain,640040,2020-09-19T00:00:00Z
Spain,640040,2020-09-20T00:00:00Z
Spain,671468,2020-09-21T00:00:00Z
Spain,682267,2020-09-22T00:00:00Z
Spain,693556,2020-09-23T00:00:00Z
Spain,704209,2020-09-24T00:00:00Z
Spain,716481,2020-09-25T00:00:00Z
Spain,716481,2020-09-26T00:00:00Z
Spain,716481,2020-09-27T00:00:00Z
Spain,748266,2020-09-28T00:00:00Z
Spain,748266,2020-09-29T00:00:00Z
Spain,769188,2020-09-30T00:00:00Z
Spain,778607,2020-10-01T00:00:00Z
Spain,789932,2020-10-02T00:00:00Z
Spain,789932,2020-10-03T00:00:00Z
Spain,789932,2020-10-04T00:00:00Z
Spain,813412,2020-10-05T00:00:00Z
Spain,825410,2020-10-06T00:00:00Z
Spain,835901,2020-10-07T00:00:00Z
Spain,848324,2020-10-08T00:00:00Z
Spain,861112,2020-10-09T00:00:00Z
Spain,861112,2020-10-10T00:00:00Z
Spain,861112,2020-10-11T00:00:00Z
Spain,888968,2020-10-12T00:00:00Z
Spain,896086,2020-10-13T00:00:00Z
Spain,908056,2020-10-14T00:00:00Z
Spain,921374,2020-10-15T00:00:00Z
Spain,936560,2020-10-16T00:00:00Z
Spain,936560,2020-10-17T00:00:00Z
Spain,936560,2020-10-18T00:00:00Z
Spain,974449,2020-10-19T00:00:00Z
Spain,988322,2020-10-20T00:00:00Z
Spain,1005295,2020-10-21T00:00:00Z
Spain,1026281,2020-10-22T00:00:00Z
Spain,1046132,2020-10-23T00:00:00Z
Spain,1046132,2020-10-24T00:00:00Z
Spain,1046132,2020-10-25T00:00:00Z
Spain,1098320,2020-10-26T00:00:00Z
Spain,1116738,2020-10-27T00:00:00Z
Spain,1136503,2020-10-28T00:00:00Z
Spain,1160083,2020-10-29T00:00:00Z
Spain,1185678,2020-10-30T00:00:00Z
Spain,1185678,2020-10-31T00:00:00Z
Spain,1185678,2020-11-01T00:00:00Z
Spain,1240697,2020-11-02T00:00:00Z
Spain,1259366,2020-11-03T00:00:00Z
Spain,1284408,2020-11-04T00:00:00Z
Spain,1306316,2020-11-05T00:00:00Z
Spain,1328832,2020-11-06T00:00:00Z
Spain,1328832,2020-11-07T00:00:00Z
Spain,1328832,2020-11-08T00:00:00Z
Spain,1381218,2020-11-09T00:00:00Z
Spain,1381218,2020-11-10T00:00:00Z
Spain,1417709,2020-11-11T00:00:00Z
Spain,1437220,2020-11-12T00:00:00Z
Spain,1458591,2020-11-13T00:00:00Z
Spain,1458591,2020-11-14T00:00:00Z
Spain,1458591,2020-11-15T00:00:00Z
