Country,Deaths,Date
Spain,0,2020-01-22T00:00:00Z
Spain,0,2020-01-23T00:00:00Z
Spain,0,2020-01-24T00:00:00Z
Spain,0,2020-01-25T00:00:00Z
Spain,0,2020-01-26T00:00:00Z
Spain,0,2020-01-27T00:00:00Z
Spain,0,2020-01-28T00:00:00Z
Spain,0,2020-01-29T00:00:00Z
Spain,0,2020-01-30T00:00:00Z
Spain,0,2020-01-31T00:00:00Z
Spain,0,2020-02-01T00:00:00Z
Spain,0,2020-02-02T00:00:00Z
Spain,0,2020-02-03T00:00:00Z
Spain,0,2020-02-04T00:00:00Z
Spain,0,2020-02-05T00:00:00Z
Spain,0,2020-02-06T00:00:00Z
Spain,0,2020-02-07T00:00:00Z
Spain,0,2020-02-08T00:00:00Z
Spain,0,2020-02-09T00:00:00Z
Spain,0,2020-02-10T00:00:00Z
Spain,0,2020-02-11T00:00:00Z
Spain,0,2020-02-12T00:00:00Z
Spain,0,2020-02-13T00:00:00Z
Spain,0,2020-02-14T00:00:00Z
Spain,0,2020-02-15T00:00:00Z
Spain,0,2020-02-16T00:00:00Z
Spain,0,2020-02-17T00:00:00Z
Spain,0,2020-02-18T00:00:00Z
Spain,0,2020-02-19T00:00:00Z
Spain,0,2020-02-20T00:00:00Z
Spain,0,2020-02-21T00:00:00Z
Spain,0,2020-02-22T00:00:00Z
Spain,0,2020-02-23T00:00:00Z
Spain,0,2020-02-24T00:00:00Z
Spain,0,2020-02-25T00:00:00Z
Spain,0,2020-02-26T00:00:00Z
Spain,0,2020-02-27T00:00:00Z
Spain,0,2020-02-28T00:00:00Z
Spain,0,2020-02-29T00:00:00Z
Spain,0,2020-03-01T00:00:00Z
Spain,0,2020-03-02T00:00:00Z
Spain,1,2020-03-03T00:00:00Z
Spain,2,2020-03-04T00:00:00Z
Spain,3,2020-03-05T00:00:00Z
Spain,5,2020-03-06T00:00:00Z
Spain,10,2020-03-07T00:00:00Z
Spain,17,2020-03-08T00:00:00Z
Spain,28,2020-03-09T00:00:00Z
Spain,35,2020-03-10T00:00:00Z
Spain,54,2020-03-11T00:00:00Z
Spain,55,2020-03-12T00:00:00Z
Spain,133,2020-03-13T00:00:00Z
Spain,195,2020-03-14T00:00:00Z
Spain,289,2020-03-15T00:00:00Z
Spain,342,2020-03-16T00:00:00Z
Spain,533,2020-03-17T00:00:00Z
Spain,623,2020-03-18T00:00:00Z
Spain,830,2020-03-19T00:00:00Z
Spain,1043,2020-03-20T00:00:00Z
Spain,1375,2020-03-21T00:00:00Z
Spain,1772,2020-03-22T00:00:00Z
Spain,2311,2020-03-23T00:00:00Z
Spain,2808,2020-03-24T00:00:00Z
Spain,3647,2020-03-25T00:00:00Z
Spain,4365,2020-03-26T00:00:00Z
Spain,5138,2020-03-27T00:00:00Z
Spain,5982,2020-03-28T00:00:00Z
Spain,6803,2020-03-29T00:00:00Z
Spain,7716,2020-03-30T00:00:00Z
Spain,8464,2020-03-31T00:00:00Z
Spain,9387,2020-04-01T00:00:00Z
Spain,10348,2020-04-02T00:00:00Z
Spain,11198,2020-04-03T00:00:00Z
Spain,11947,2020-04-04T00:00:00Z
Spain,12641,2020-04-05T00:00:00Z
Spain,13341,2020-04-06T00:00:00Z
Spain,14045,2020-04-07T00:00:00Z
Spain,14792,2020-04-08T00:00:00Z
Spain,15447,2020-04-09T00:00:00Z
Spain,16081,2020-04-10T00:00:00Z
Spain,16606,2020-04-11T00:00:00Z
Spain,17209,2020-04-12T00:00:00Z
Spain,17756,2020-04-13T00:00:00Z
Spain,18056,2020-04-14T00:00:00Z
Spain,18708,2020-04-15T00:00:00Z
Spain,19315,2020-04-16T00:00:00Z
Spain,20002,2020-04-17T00:00:00Z
Spain,20043,2020-04-18T00:00:00Z
Spain,20453,2020-04-19T00:00:00Z
Spain,20852,2020-04-20T00:00:00Z
Spain,21282,2020-04-21T00:00:00Z
Spain,21717,2020-04-22T00:00:00Z
Spain,22157,2020-04-23T00:00:00Z
Spain,22524,2020-04-24T00:00:00Z
Spain,22902,2020-04-25T00:00:00Z
Spain,23190,2020-04-26T00:00:00Z
Spain,23521,2020-04-27T00:00:00Z
Spain,23822,2020-04-28T00:00:00Z
Spain,24275,2020-04-29T00:00:00Z
Spain,24543,2020-04-30T00:00:00Z
Spain,24543,2020-05-01T00:00:00Z
Spain,25100,2020-05-02T00:00:00Z
Spain,25264,2020-05-03T00:00:00Z
Spain,25428,2020-05-04T00:00:00Z
Spain,25613,2020-05-05T00:00:00Z
Spain,25857,2020-05-06T00:00:00Z
Spain,26070,2020-05-07T00:00:00Z
Spain,26299,2020-05-08T00:00:00Z
Spain,26478,2020-05-09T00:00:00Z
Spain,26621,2020-05-10T00:00:00Z
Spain,26744,2020-05-11T00:00:00Z
Spain,26920,2020-05-12T00:00:00Z
Spain,27104,2020-05-13T00:00:00Z
Spain,27321,2020-05-14T00:00:00Z
Spain,27459,2020-05-15T00:00:00Z
Spain,27563,2020-05-16T00:00:00Z
Spain,27563,2020-05-17T00:00:00Z
Spain,27709,2020-05-18T00:00:00Z
Spain,27778,2020-05-19T00:00:00Z
Spain,27888,2020-05-20T00:00:00Z
Spain,27940,2020-05-21T00:00:00Z
Spain,28628,2020-05-22T00:00:00Z
Spain,28678,2020-05-23T00:00:00Z
Spain,28752,2020-05-24T00:00:00Z
Spain,26834,2020-05-25T00:00:00Z
Spain,27117,2020-05-26T00:00:00Z
Spain,27117,2020-05-27T00:00:00Z
Spain,27119,2020-05-28T00:00:00Z
Spain,27121,2020-05-29T00:00:00Z
Spain,27125,2020-05-30T00:00:00Z
Spain,27127,2020-05-31T00:00:00Z
Spain,27127,2020-06-01T00:00:00Z
Spain,27127,2020-06-02T00:00:00Z
Spain,27128,2020-06-03T00:00:00Z
Spain,27133,2020-06-04T00:00:00Z
Spain,27134,2020-06-05T00:00:00Z
Spain,27135,2020-06-06T00:00:00Z
Spain,27136,2020-06-07T00:00:00Z
Spain,27136,2020-06-08T00:00:00Z
Spain,27136,2020-06-09T00:00:00Z
Spain,27136,2020-06-10T00:00:00Z
Spain,27136,2020-06-11T00:00:00Z
Spain,27136,2020-06-12T00:00:00Z
Spain,27136,2020-06-13T00:00:00Z
Spain,27136,2020-06-14T00:00:00Z
Spain,27136,2020-06-15T00:00:00Z
Spain,27136,2020-06-16T00:00:00Z
Spain,27136,2020-06-17T00:00:00Z
Spain,27136,2020-06-18T00:00:00Z
Spain,28315,2020-06-19T00:00:00Z
Spain,28322,2020-06-20T00:00:00Z
Spain,28323,2020-06-21T00:00:00Z
Spain,28324,2020-06-22T00:00:00Z
Spain,28325,2020-06-23T00:00:00Z
Spain,28327,2020-06-24T00:00:00Z
Spain,28330,2020-06-25T00:00:00Z
Spain,28338,2020-06-26T00:00:00Z
Spain,28341,2020-06-27T00:00:00Z
Spain,28343,2020-06-28T00:00:00Z
Spain,28346,2020-06-29T00:00:00Z
Spain,28355,2020-06-30T00:00:00Z
Spain,28364,2020-07-01T00:00:00Z
Spain,28368,2020-07-02T00:00:00Z
Spain,28385,2020-07-03T00:00:00Z
Spain,28385,2020-07-04T00:00:00Z
Spain,28385,2020-07-05T00:00:00Z
Spain,28388,2020-07-06T00:00:00Z
Spain,28392,2020-07-07T00:00:00Z
Spain,28396,2020-07-08T00:00:00Z
Spain,28401,2020-07-09T00:00:00Z
Spain,28403,2020-07-10T00:00:00Z
Spain,28403,2020-07-11T00:00:00Z
Spain,28403,2020-07-12T00:00:00Z
Spain,28406,2020-07-13T00:00:00Z
Spain,28409,2020-07-14T00:00:00Z
Spain,28413,2020-07-15T00:00:00Z
Spain,28416,2020-07-16T00:00:00Z
Spain,28420,2020-07-17T00:00:00Z
Spain,28420,2020-07-18T00:00:00Z
Spain,28420,2020-07-19T00:00:00Z
Spain,28422,2020-07-20T00:00:00Z
Spain,28424,2020-07-21T00:00:00Z
Spain,28426,2020-07-22T00:00:00Z
Spain,28429,2020-07-23T00:00:00Z
Spain,28432,2020-07-24T00:00:00Z
Spain,28432,2020-07-25T00:00:00Z
Spain,28432,2020-07-26T00:00:00Z
Spain,28434,2020-07-27T00:00:00Z
Spain,28436,2020-07-28T00:00:00Z
Spain,28441,2020-07-29T00:00:00Z
Spain,28443,2020-07-30T00:00:00Z
Spain,28445,2020-07-31T00:00:00Z
Spain,28445,2020-08-01T00:00:00Z
Spain,28445,2020-08-02T00:00:00Z
Spain,28472,2020-08-03T00:00:00Z
Spain,28498,2020-08-04T00:00:00Z
Spain,28499,2020-08-05T00:00:00Z
Spain,28500,2020-08-06T00:00:00Z
Spain,28503,2020-08-07T00:00:00Z
Spain,28503,2020-08-08T00:00:00Z
Spain,28503,2020-08-09T00:00:00Z
Spain,28576,2020-08-10T00:00:00Z
Spain,28581,2020-08-11T00:00:00Z
Spain,28579,2020-08-12T00:00:00Z
Spain,28605,2020-08-13T00:00:00Z
Spain,28617,2020-08-14T00:00:00Z
Spain,28617,2020-08-15T00:00:00Z
Spain,28617,2020-08-16T00:00:00Z
Spain,28646,2020-08-17T00:00:00Z
Spain,28670,2020-08-18T00:00:00Z
Spain,28797,2020-08-19T00:00:00Z
Spain,28813,2020-08-20T00:00:00Z
Spain,28838,2020-08-21T00:00:00Z
Spain,28838,2020-08-22T00:00:00Z
Spain,28838,2020-08-23T00:00:00Z
Spain,28872,2020-08-24T00:00:00Z
Spain,28924,2020-08-25T00:00:00Z
Spain,28971,2020-08-26T00:00:00Z
Spain,28996,2020-08-27T00:00:00Z
Spain,29011,2020-08-28T00:00:00Z
Spain,29011,2020-08-29T00:00:00Z
Spain,29011,2020-08-30T00:00:00Z
Spain,29094,2020-08-31T00:00:00Z
Spain,29152,2020-09-01T00:00:00Z
Spain,29194,2020-09-02T00:00:00Z
Spain,29234,2020-09-03T00:00:00Z
Spain,29418,2020-09-04T00:00:00Z
Spain,29418,2020-09-05T00:00:00Z
Spain,29418,2020-09-06T00:00:00Z
Spain,29516,2020-09-07T00:00:00Z
Spain,29594,2020-09-08T00:00:00Z
Spain,29628,2020-09-09T00:00:00Z
Spain,29699,2020-09-10T00:00:00Z
Spain,29747,2020-09-11T00:00:00Z
Spain,29747,2020-09-12T00:00:00Z
Spain,29747,2020-09-13T00:00:00Z
Spain,29848,2020-09-14T00:00:00Z
Spain,30004,2020-09-15T00:00:00Z
Spain,30243,2020-09-16T00:00:00Z
Spain,30405,2020-09-17T00:00:00Z
Spain,30495,2020-09-18T00:00:00Z
Spain,30495,2020-09-19T00:00:00Z
Spain,30495,2020-09-20T00:00:00Z
Spain,30663,2020-09-21T00:00:00Z
Spain,30904,2020-09-22T00:00:00Z
Spain,31034,2020-09-23T00:00:00Z
Spain,31118,2020-09-24T00:00:00Z
Spain,31232,2020-09-25T00:00:00Z
Spain,31232,2020-09-26T00:00:00Z
Spain,31232,2020-09-27T00:00:00Z
Spain,31411,2020-09-28T00:00:00Z
Spain,31411,2020-09-29T00:00:00Z
Spain,31791,2020-09-30T00:00:00Z
Spain,31973,2020-10-01T00:00:00Z
Spain,32086,2020-10-02T00:00:00Z
Spain,32086,2020-10-03T00:00:00Z
Spain,32086,2020-10-04T00:00:00Z
Spain,32225,2020-10-05T00:00:00Z
Spain,32486,2020-10-06T00:00:00Z
Spain,32562,2020-10-07T00:00:00Z
Spain,32688,2020-10-08T00:00:00Z
Spain,32929,2020-10-09T00:00:00Z
Spain,32929,2020-10-10T00:00:00Z
Spain,32929,2020-10-11T00:00:00Z
Spain,33124,2020-10-12T00:00:00Z
Spain,33204,2020-10-13T00:00:00Z
Spain,33413,2020-10-14T00:00:00Z
Spain,33553,2020-10-15T00:00:00Z
Spain,33775,2020-10-16T00:00:00Z
Spain,33775,2020-10-17T00:00:00Z
Spain,33775,2020-10-18T00:00:00Z
Spain,33992,2020-10-19T00:00:00Z
Spain,34210,2020-10-20T00:00:00Z
Spain,34366,2020-10-21T00:00:00Z
Spain,34521,2020-10-22T00:00:00Z
Spain,34752,2020-10-23T00:00:00Z
Spain,34752,2020-10-24T00:00:00Z
Spain,34752,2020-10-25T00:00:00Z
Spain,35031,2020-10-26T00:00:00Z
Spain,35298,2020-10-27T00:00:00Z
Spain,35466,2020-10-28T00:00:00Z
Spain,35639,2020-10-29T00:00:00Z
Spain,35878,2020-10-30T00:00:00Z
Spain,35878,2020-10-31T00:00:00Z
Spain,35878,2020-11-01T00:00:00Z
Spain,36257,2020-11-02T00:00:00Z
Spain,36495,2020-11-03T00:00:00Z
Spain,38118,2020-11-04T00:00:00Z
Spain,38486,2020-11-05T00:00:00Z
Spain,38833,2020-11-06T00:00:00Z
Spain,38833,2020-11-07T00:00:00Z
Spain,38833,2020-11-08T00:00:00Z
Spain,39345,2020-11-09T00:00:00Z
Spain,39345,2020-11-10T00:00:00Z
Spain,40105,2020-11-11T00:00:00Z
Spain,40461,2020-11-12T00:00:00Z
Spain,40769,2020-11-13T00:00:00Z
Spain,40769,2020-11-14T00:00:00Z
Spain,40769,2020-11-15T00:00:00Z
Spain,41253,2020-11-16T00:00:00Z
Spain,41688,2020-11-17T00:00:00Z
